"pr_code";"isco";"weight"
1;111;4
1;121;3
1;134;2
1;235;1
1;241;1
1;242;2
1;243;1
1;252;1
1;261;27
1;311;1
1;321;1
1;331;6
1;332;3
1;333;29
1;334;5
1;335;4
1;341;2
1;411;2
1;412;2
1;413;1
1;421;1
1;422;1
1;441;6
1;513;2
1;522;1
1;611;1
1;712;1
1;832;1
1;941;1
1;962;1
2;112;3
2;131;7
2;134;1
2;142;1
2;213;7
2;214;3
2;243;1
2;252;1
2;261;1
2;311;5
2;314;1
2;324;1
2;325;1
2;331;2
2;332;6
2;333;1
2;334;1
2;351;1
2;411;2
2;412;1
2;441;3
2;512;1
2;513;1
2;522;3
2;541;1
2;611;2
2;612;1
2;613;1
2;711;1
2;723;1
2;741;1
2;751;2
2;818;1
2;833;1
2;834;3
2;912;1
2;931;1
2;962;1
3;132;2
3;214;2
3;233;1
3;243;1
3;251;1
3;261;1
3;311;1
3;332;1
3;333;2
3;431;1
3;432;1
3;821;1
3;834;1
4;134;1
4;531;1
5;121;1
5;131;2
5;132;1
5;213;1
5;214;5
5;261;1
5;311;2
5;332;1
5;333;2
5;522;1
5;541;1
5;721;1
5;723;1
5;741;1
5;818;2
6;334;1
7;111;1
7;112;6
7;121;3
7;122;2
7;132;2
7;134;10
7;141;1
7;142;1
7;143;1
7;212;1
7;213;1
7;214;4
7;232;1
7;233;1
7;234;2
7;235;2
7;241;2
7;242;7
7;243;5
7;251;2
7;252;3
7;261;18
7;262;3
7;263;3
7;265;1
7;311;7
7;312;3
7;321;2
7;322;2
7;324;1
7;325;3
7;331;11
7;332;17
7;333;54
7;334;7
7;341;6
7;343;7
7;351;1
7;411;21
7;412;4
7;413;5
7;421;6
7;422;17
7;431;11
7;441;27
7;511;2
7;513;5
7;514;4
7;516;2
7;522;22
7;523;1
7;524;9
7;531;6
7;541;2
7;611;1
7;731;1
7;751;1
7;818;2
7;821;1
7;911;3
7;912;1
7;931;3
7;932;1
7;933;2
7;962;3
8;112;1
8;216;1
8;233;3
8;234;3
8;235;2
8;242;1
8;251;1
8;252;2
8;261;1
8;264;1
8;331;1
8;332;6
8;333;2
8;334;1
8;341;1
8;342;1
8;411;2
8;422;8
8;432;2
8;441;8
8;513;1
8;516;1
8;522;3
8;524;1
8;821;1
8;941;1
9;112;1
9;131;3
9;134;1
9;213;1
9;243;1
9;311;1
9;314;2
9;324;1
9;332;2
9;411;2
9;421;1
9;514;1
9;612;3
9;931;1
9;933;1
10;134;1
10;241;2
10;261;2
10;263;1
10;331;2
10;332;1
10;333;1
10;441;2
11;216;2
11;311;4
11;333;1
12;343;1
12;441;1
13;213;1
13;214;4
13;231;3
13;261;1
14;112;1
14;134;1
14;142;1
14;213;5
14;233;1
14;243;1
14;261;1
14;311;1
14;313;1
14;321;3
14;322;1
14;332;1
14;342;1
14;411;2
14;412;1
14;422;1
14;441;1
14;513;2
14;522;1
14;532;1
14;751;1
14;931;1
14;933;1
14;962;1
15;121;1
15;214;3
15;233;1
15;242;1
15;243;2
15;251;8
15;252;5
15;261;2
15;263;2
15;264;1
15;265;1
15;331;1
15;351;4
15;411;1
15;422;4
15;431;3
15;441;4
15;516;1
15;524;1
15;821;1
16;111;1
16;112;15
16;121;15
16;122;5
16;131;2
16;132;5
16;133;1
16;134;6
16;141;1
16;142;15
16;143;4
16;214;21
16;215;1
16;226;1
16;231;1
16;233;1
16;234;1
16;235;1
16;241;35
16;242;13
16;243;28
16;251;9
16;252;7
16;261;50
16;263;17
16;264;1
16;265;3
16;311;9
16;312;1
16;313;1
16;314;1
16;321;2
16;322;1
16;325;8
16;331;153
16;332;68
16;333;84
16;334;7
16;335;5
16;342;3
16;343;1
16;351;8
16;411;28
16;412;11
16;413;8
16;421;3
16;422;26
16;431;58
16;432;9
16;441;54
16;512;1
16;513;11
16;514;1
16;516;1
16;522;19
16;523;3
16;524;7
16;531;1
16;541;1
16;751;3
16;753;1
16;818;1
16;821;1
16;832;2
16;833;1
16;921;1
16;931;1
16;932;1
16;933;2
16;941;2
16;962;4
17;112;1
17;232;3
17;233;1
17;235;2
17;333;1
17;334;1
17;441;1
17;512;1
17;522;2
18;214;1
18;223;1
18;226;1
18;231;1
18;233;1
18;234;2
18;235;1
18;252;2
18;261;1
18;263;4
18;312;1
18;331;2
18;333;1
18;341;2
18;411;2
18;431;1
18;441;1
18;524;1
19;522;1
20;132;1
20;134;1
20;214;18
20;231;12
20;242;1
20;261;1
20;311;3
20;333;1
20;334;1
20;516;1
20;751;1
20;813;1
20;834;1
21;121;2
21;132;1
21;211;2
21;226;1
21;261;2
21;311;2
21;325;1
21;332;1
21;441;2
21;741;1
21;751;1
21;813;1
22;131;1
22;132;4
22;133;1
22;134;1
22;214;18
22;216;4
22;241;1
22;252;1
22;261;6
22;311;9
22;312;1
22;332;2
22;333;1
22;441;2
22;818;1
22;931;1
23;112;2
23;121;6
23;122;4
23;132;2
23;133;1
23;134;4
23;141;1
23;142;11
23;143;2
23;214;1
23;215;1
23;242;3
23;243;30
23;251;2
23;252;2
23;261;19
23;263;6
23;311;3
23;325;2
23;331;22
23;332;34
23;333;27
23;334;5
23;335;2
23;342;1
23;343;2
23;351;2
23;411;9
23;412;5
23;413;1
23;421;1
23;422;10
23;431;5
23;432;6
23;441;12
23;511;1
23;512;1
23;514;1
23;516;2
23;522;10
23;524;1
23;531;1
23;711;1
23;821;1
23;933;1
24;112;7
24;121;1
24;122;7
24;133;2
24;134;10
24;141;2
24;142;8
24;143;2
24;214;6
24;216;1
24;226;1
24;232;1
24;235;1
24;241;1
24;242;7
24;243;43
24;251;2
24;252;3
24;261;23
24;264;34
24;265;19
24;321;1
24;322;1
24;325;2
24;331;18
24;332;32
24;333;40
24;334;7
24;335;1
24;341;2
24;343;6
24;411;25
24;412;10
24;413;4
24;421;3
24;422;33
24;432;1
24;441;31
24;511;3
24;512;1
24;513;6
24;514;1
24;522;29
24;523;3
24;524;9
24;541;6
24;732;1
24;742;1
24;818;2
24;832;2
24;833;1
24;911;1
24;932;2
24;933;2
24;941;1
25;522;1
26;111;1
26;343;1
26;351;1
27;516;1
28;234;2
28;235;2
28;514;1
28;531;1
29;216;1
29;931;1
30;243;1
30;264;1
30;311;1
31;332;1
32;243;1
32;261;4
32;262;1
32;311;1
32;333;3
32;351;1
32;522;1
32;811;1
33;132;1
33;211;1
33;214;3
33;311;1
33;312;3
33;333;1
33;811;1
34;235;1
34;331;1
34;333;2
34;351;1
34;421;1
34;422;1
34;513;1
34;522;1
35;132;1
35;141;1
35;142;1
35;213;1
35;214;4
35;232;1
35;243;1
35;314;2
35;321;1
35;331;2
35;332;2
35;333;1
35;341;1
35;411;3
35;422;1
35;441;2
35;513;4
35;522;3
35;712;1
35;721;1
35;751;1
35;754;1
35;911;2
35;931;1
35;941;1
36;212;3
36;261;2
36;263;1
36;333;1
37;112;2
37;122;1
37;131;1
37;132;1
37;134;2
37;213;4
37;214;4
37;241;1
37;242;2
37;243;1
37;252;1
37;261;8
37;311;3
37;325;1
37;331;6
37;332;3
37;333;9
37;334;1
37;411;5
37;412;1
37;421;1
37;422;5
37;432;1
37;441;5
37;513;1
37;514;1
37;522;3
37;524;2
37;541;1
37;611;2
37;712;1
37;731;2
37;751;1
37;921;1
37;932;1
37;941;1
38;121;2
38;132;5
38;133;1
38;134;3
38;214;45
38;215;65
38;216;2
38;231;4
38;233;1
38;243;3
38;251;40
38;252;9
38;261;10
38;311;25
38;312;1
38;331;1
38;332;3
38;333;3
38;351;3
38;352;1
38;432;1
38;441;2
38;522;1
38;712;1
38;721;1
38;722;1
38;723;3
38;741;15
38;742;4
38;816;1
38;933;1
39;214;2
39;215;1
39;311;1
39;332;2
39;333;1
40;121;3
40;134;2
40;213;8
40;214;14
40;226;1
40;231;1
40;234;1
40;243;2
40;261;6
40;311;8
40;314;4
40;321;1
40;325;1
40;332;2
40;333;3
40;411;4
40;421;1
