ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
1;F;Semmelweis Egyetem;Health Science;ápolás és betegellátás;Nursing and Patient Care;B;3311;331;3;322;Technicians and associate professionals;Nurses and midwives;1;HU312;40;130155
2;M;Óbudai Egyetem;Economic Science;vállalkozásfejlesztés;NA;M;3655;365;3;335;Technicians and associate professionals;Regulatory government associate professionals;1;not NUTS special tax ;40;343700
3;F;Zsigmond Király Fõiskola;Arts and Humanities;andragógia;Andragogy;B;3212;321;3;312;Technicians and associate professionals;"Mining; manufacturing and construction supervisors";1;not NUTS important taxpayer;40;463365
4;F;Edutus Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;not NUTS important taxpayer;40;336000
5;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Economic Science;Master of Business Administration (MBA);NA;M;2153;215;2;252;Professionals;Database and network professionals;1;HU311;40;125000
6;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2121;212;2;215;Professionals;Electrotechnology engineers;1;HU101;40;151500
7;F;Budapesti Gazdasági Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;2910;291;2;261;Professionals;Legal professionals;1;HU101;40;295000
8;F;Kaposvári Egyetem;Teacher and kindergarten teacher;tanító;NA;F;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;289325
9;M;Debreceni Egyetem;Arts and Humanities;angol nyelv és irodalom;NA;E;2910;291;2;261;Professionals;Legal professionals;1;HU321;40;160400
10;F;Budapesti Kommunikációs és Üzleti Fõiskola;Economic Science;turizmus-vendéglátás;Tourism ;B;1333;133;1;142;Managers;Retail and wholesale trade managers;1;HU102;40;0
11;F;Edutus Fõiskola;Economic Science;kereskedelmi;NA;F;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU212;40;268304
12;F;Szegedi Tudományegyetem;Economic Science;gazdálkodási;NA;E;4121;412;4;431;Clerical support workers;Numerical and material recording clerks;0;HU101;40;258376
13;F;Zsigmond Király Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;4224;422;4;422;Clerical support workers;Client information workers;0;HU101;30;62609
14;M;Szegedi Tudományegyetem;Arts and Humanities;történelem;NA;E;3611;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;182944
15;F;Budapesti Gazdasági Fõiskola;Social Science;kommunikáció és médiatudomány;Communication and Media Science;B;5123;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;not NUTS important taxpayer;40;287340
16;F;Szolnoki Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;5129;512;5;524;"Clerical support workers; service and sales workers";Other sales workers;0;HU101;20;48110
17;F;Nyugat-Magyarországi Egyetem;Agricultural Science;állattenyésztõ mérnöki;Animal production engineer;B;4112;411;4;411;Clerical support workers;General office clerks;0;HU101;40;167281
18;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;NA;F;1321;132;1;132;Managers;"Manufacturing; mining; construction; and distribution managers";1;not NUTS important taxpayer;40;762392
19;M;Magyar Táncmûvészeti Fõiskola;Teacher training;táncpedagógus;NA;F;2494;249;2;235;Professionals;Other teaching professionals;1;HU331;40;100000
20;F;Eötvös Loránd Tudományegyetem;Social Science;szociális munka;Social work;B;3639;363;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;0
21;F;Debreceni Egyetem;Law;jogász;NA;E;2615;261;2;261;Professionals;Legal professionals;1;HU101;40;108000
22;F;Eötvös Loránd Tudományegyetem;Natural sciences;meteorológus;NA;E;2910;291;2;261;Professionals;Legal professionals;1;not NUTS important taxpayer;40;244000
23;M;Nyíregyházi Fõiskola;Natural sciences;biológiatanári;NA;P;3511;351;3;341;Technicians and associate professionals;"Legal; social and religious associate professionals";1;HU323;40;129600
24;F;Budapesti Gazdasági Fõiskola;Economic Science;gazdaságdiplomácia és nemzetközi menedzsment;NA;F;2910;291;2;261;Professionals;Legal professionals;1;not NUTS special tax ;40;280000
25;M;Szent István Egyetem;Engineering Science;építõmérnöki;NA;F;4222;422;4;422;Clerical support workers;Client information workers;0;HU101;40;80869
