"","x"
"1","333"
"2","111"
"3","211"
"4","241"
"5","335"
"6","242"
"7","212"
"8","921"
"9","261"
"10","441"
"11","112"
"12","431"
"13","421"
"14","712"
"15","331"
"16","514"
"17","121"
"18","413"
"19","731"
"20","343"
"21","432"
"22","511"
"23","332"
"24","412"
"25","142"
"26","524"
"27","911"
"28","334"
"29","523"
"30","265"
"31","264"
"32","422"
"33","243"
"34","515"
"35","832"
"36","141"
"37","411"
"38","513"
"39","941"
"40","133"
"41","932"
"42","122"
"43","323"
"44","516"
"45","611"
"46","262"
"47","233"
"48","522"
"49","962"
"50","541"
"51","512"
"52","143"
"53","232"
"54","754"
"55","342"
"56","314"
"57","131"
"58","815"
"59","324"
"60","612"
"61","621"
"62","213"
"63","613"
"64","834"
"65","622"
"66","313"
"67","912"
"68","821"
"69","234"
"70","532"
"71","226"
"72","322"
"73","931"
"74","263"
"75","531"
"76","235"
"77","134"
"78","753"
"79","341"
"80","223"
"81","321"
"82","325"
"83","222"
"84","933"
"85","352"
"86","818"
"87","216"
"88","722"
"89","812"
"90","814"
"91","231"
"92","732"
"93","742"
"94","816"
"95","721"
"96","741"
"97","811"
"98","311"
"99","752"
"100","813"
"101","751"
"102","215"
"103","833"
"104","711"
"105","521"
"106","132"
"107","252"
"108","312"
"109","214"
"110","351"
"111","831"
"112","251"
"113","723"
